Payment Mode,Quarter,State,Total Amount,Total Transactions count,Year
Recharge & bill payments,3,chhattisgarh,8069941553.075293,16538894.0,2022
Financial Services,3,chhattisgarh,61881709.73674864,55775.0,2022
Others,3,chhattisgarh,128469268.5974063,185994.0,2022
Merchant payments,4,chhattisgarh,60247141797.94961,97405954.0,2022
Peer-to-peer payments,4,chhattisgarh,183672880692.7266,63986789.0,2022
Recharge & bill payments,4,chhattisgarh,8376603987.152398,16324117.0,2022
Financial Services,4,chhattisgarh,81169069.23462963,63695.0,2022
Others,4,chhattisgarh,141385263.4082809,179891.0,2022
Recharge & bill payments,1,dadra-&-nagar-haveli-&-daman-&-diu,17526369.5804541,95544.0,2018
Peer-to-peer payments,1,dadra-&-nagar-haveli-&-daman-&-diu,151966933.2460739,44599.0,2018
Merchant payments,1,dadra-&-nagar-haveli-&-daman-&-diu,1580762.779739072,1531.0,2018
Financial Services,1,dadra-&-nagar-haveli-&-daman-&-diu,353171.5523814913,1364.0,2018
Others,1,dadra-&-nagar-haveli-&-daman-&-diu,4231146.95056825,5511.0,2018
Recharge & bill payments,2,dadra-&-nagar-haveli-&-daman-&-diu,30595592.00768239,122834.0,2018
Peer-to-peer payments,2,dadra-&-nagar-haveli-&-daman-&-diu,261995613.0548204,69215.0,2018
Merchant payments,2,dadra-&-nagar-haveli-&-daman-&-diu,4685536.036433555,3544.0,2018
Financial Services,2,dadra-&-nagar-haveli-&-daman-&-diu,383806.08546730166,2996.0,2018
Others,2,dadra-&-nagar-haveli-&-daman-&-diu,4410224.471747881,4037.0,2018
Recharge & bill payments,3,dadra-&-nagar-haveli-&-daman-&-diu,39790820.29359456,157113.0,2018
Peer-to-peer payments,3,dadra-&-nagar-haveli-&-daman-&-diu,396698085.41045517,119346.0,2018
Merchant payments,3,dadra-&-nagar-haveli-&-daman-&-diu,5693604.7441260815,7465.0,2018
Financial Services,3,dadra-&-nagar-haveli-&-daman-&-diu,297647.89589848556,1477.0,2018
Others,3,dadra-&-nagar-haveli-&-daman-&-diu,5159437.334100959,4174.0,2018
Peer-to-peer payments,4,dadra-&-nagar-haveli-&-daman-&-diu,582082154.4115133,194214.0,2018
Recharge & bill payments,4,dadra-&-nagar-haveli-&-daman-&-diu,49972030.112854846,185793.0,2018
Merchant payments,4,dadra-&-nagar-haveli-&-daman-&-diu,19577328.03937304,15739.0,2018
Financial Services,4,dadra-&-nagar-haveli-&-daman-&-diu,371674.6991335743,2996.0,2018
Others,4,dadra-&-nagar-haveli-&-daman-&-diu,6747429.538011953,5340.0,2018
Peer-to-peer payments,1,dadra-&-nagar-haveli-&-daman-&-diu,757657638.3173952,408465.0,2019
Recharge & bill payments,1,dadra-&-nagar-haveli-&-daman-&-diu,62660761.88806932,225998.0,2019
Merchant payments,1,dadra-&-nagar-haveli-&-daman-&-diu,17043867.88608146,20694.0,2019
Financial Services,1,dadra-&-nagar-haveli-&-daman-&-diu,221064.6189234741,1645.0,2019
Others,1,dadra-&-nagar-haveli-&-daman-&-diu,5786443.339431095,5012.0,2019
Peer-to-peer payments,2,dadra-&-nagar-haveli-&-daman-&-diu,734034142.8087387,244134.0,2019
Recharge & bill payments,2,dadra-&-nagar-haveli-&-daman-&-diu,63874445.5524188,198184.0,2019
Merchant payments,2,dadra-&-nagar-haveli-&-daman-&-diu,20816136.241969172,40781.0,2019
Financial Services,2,dadra-&-nagar-haveli-&-daman-&-diu,155149.75618074698,748.0,2019
Others,2,dadra-&-nagar-haveli-&-daman-&-diu,5561402.205763446,5809.0,2019
Recharge & bill payments,3,dadra-&-nagar-haveli-&-daman-&-diu,104597035.07984869,319142.0,2019
Peer-to-peer payments,3,dadra-&-nagar-haveli-&-daman-&-diu,821178569.0593252,249944.0,2019
Merchant payments,3,dadra-&-nagar-haveli-&-daman-&-diu,30634658.23749445,63616.0,2019
Financial Services,3,dadra-&-nagar-haveli-&-daman-&-diu,425044.05141368794,533.0,2019
Others,3,dadra-&-nagar-haveli-&-daman-&-diu,4636167.420289769,5516.0,2019
Recharge & bill payments,4,dadra-&-nagar-haveli-&-daman-&-diu,125809568.3505591,351819.0,2019
Peer-to-peer payments,4,dadra-&-nagar-haveli-&-daman-&-diu,1051976410.547205,324464.0,2019
Merchant payments,4,dadra-&-nagar-haveli-&-daman-&-diu,45361559.23824883,86758.0,2019
Financial Services,4,dadra-&-nagar-haveli-&-daman-&-diu,267762.49056630814,1019.0,2019
Others,4,dadra-&-nagar-haveli-&-daman-&-diu,3225961.384460643,4911.0,2019
Recharge & bill payments,1,dadra-&-nagar-haveli-&-daman-&-diu,153340696.30393672,407577.0,2020
Peer-to-peer payments,1,dadra-&-nagar-haveli-&-daman-&-diu,1119439489.500513,329005.0,2020
Merchant payments,1,dadra-&-nagar-haveli-&-daman-&-diu,66713356.79814301,137040.0,2020
Financial Services,1,dadra-&-nagar-haveli-&-daman-&-diu,418783.1260904173,668.0,2020
Others,1,dadra-&-nagar-haveli-&-daman-&-diu,2851043.563834071,4289.0,2020
Recharge & bill payments,2,dadra-&-nagar-haveli-&-daman-&-diu,178877986.72486582,525974.0,2020
Peer-to-peer payments,2,dadra-&-nagar-haveli-&-daman-&-diu,1052118443.3664521,323909.0,2020
Merchant payments,2,dadra-&-nagar-haveli-&-daman-&-diu,68938500.71228051,118801.0,2020
Financial Services,2,dadra-&-nagar-haveli-&-daman-&-diu,993268.2971840606,1826.0,2020
Others,2,dadra-&-nagar-haveli-&-daman-&-diu,1448254.787275234,2642.0,2020
Recharge & bill payments,3,dadra-&-nagar-haveli-&-daman-&-diu,201223380.1868608,455603.0,2020
Peer-to-peer payments,3,dadra-&-nagar-haveli-&-daman-&-diu,1401020928.231915,419524.0,2020
Merchant payments,3,dadra-&-nagar-haveli-&-daman-&-diu,143497844.4907236,257572.0,2020
Financial Services,3,dadra-&-nagar-haveli-&-daman-&-diu,1778864.0123306382,1635.0,2020
Others,3,dadra-&-nagar-haveli-&-daman-&-diu,2268098.077531771,3978.0,2020
Peer-to-peer payments,4,dadra-&-nagar-haveli-&-daman-&-diu,2153786522.547576,666995.0,2020
Merchant payments,4,dadra-&-nagar-haveli-&-daman-&-diu,316510115.8051566,631443.0,2020
Recharge & bill payments,4,dadra-&-nagar-haveli-&-daman-&-diu,224246669.7783347,509971.0,2020
Financial Services,4,dadra-&-nagar-haveli-&-daman-&-diu,1683959.5099964456,2453.0,2020
Others,4,dadra-&-nagar-haveli-&-daman-&-diu,4283833.187441602,6929.0,2020
Peer-to-peer payments,1,dadra-&-nagar-haveli-&-daman-&-diu,2379220756.223016,768921.0,2021
Merchant payments,1,dadra-&-nagar-haveli-&-daman-&-diu,367522132.380636,705821.0,2021
Recharge & bill payments,1,dadra-&-nagar-haveli-&-daman-&-diu,213177144.7320097,442926.0,2021
Financial Services,1,dadra-&-nagar-haveli-&-daman-&-diu,1930008.9716834244,2243.0,2021
Others,1,dadra-&-nagar-haveli-&-daman-&-diu,3782868.8861592514,5333.0,2021
Peer-to-peer payments,2,dadra-&-nagar-haveli-&-daman-&-diu,2512913026.427944,843550.0,2021
Merchant payments,2,dadra-&-nagar-haveli-&-daman-&-diu,430487473.930562,802899.0,2021
Recharge & bill payments,2,dadra-&-nagar-haveli-&-daman-&-diu,208762964.01200238,471136.0,2021
Financial Services,2,dadra-&-nagar-haveli-&-daman-&-diu,1763792.6506419359,1826.0,2021
Others,2,dadra-&-nagar-haveli-&-daman-&-diu,3741204.3977531465,5672.0,2021
Merchant payments,3,dadra-&-nagar-haveli-&-daman-&-diu,706774071.9381688,1312241.0,2021
Peer-to-peer payments,3,dadra-&-nagar-haveli-&-daman-&-diu,3339347400.064355,1262732.0,2021
Recharge & bill payments,3,dadra-&-nagar-haveli-&-daman-&-diu,253199754.8745275,544322.0,2021
Financial Services,3,dadra-&-nagar-haveli-&-daman-&-diu,2252116.636459231,2065.0,2021
Others,3,dadra-&-nagar-haveli-&-daman-&-diu,4365759.277996017,8110.0,2021
Merchant payments,4,dadra-&-nagar-haveli-&-daman-&-diu,1058989463.165042,2013673.0,2021
Peer-to-peer payments,4,dadra-&-nagar-haveli-&-daman-&-diu,4202291071.7106133,1577168.0,2021
Recharge & bill payments,4,dadra-&-nagar-haveli-&-daman-&-diu,294991582.16815025,551618.0,2021
Financial Services,4,dadra-&-nagar-haveli-&-daman-&-diu,3159306.4175118254,2909.0,2021
Others,4,dadra-&-nagar-haveli-&-daman-&-diu,6407962.869342193,11717.0,2021
Merchant payments,1,dadra-&-nagar-haveli-&-daman-&-diu,1227972829.697026,2507246.0,2022
Peer-to-peer payments,1,dadra-&-nagar-haveli-&-daman-&-diu,4674787017.541661,1745454.0,2022
Recharge & bill payments,1,dadra-&-nagar-haveli-&-daman-&-diu,326296370.8235702,538134.0,2022
Financial Services,1,dadra-&-nagar-haveli-&-daman-&-diu,2661345.5534556974,2574.0,2022
Others,1,dadra-&-nagar-haveli-&-daman-&-diu,5330803.646676767,9395.0,2022
Merchant payments,2,dadra-&-nagar-haveli-&-daman-&-diu,1536859131.337481,3346697.0,2022
Peer-to-peer payments,2,dadra-&-nagar-haveli-&-daman-&-diu,5078832140.606572,1861799.0,2022
Recharge & bill payments,2,dadra-&-nagar-haveli-&-daman-&-diu,372921225.4254243,539562.0,2022
Financial Services,2,dadra-&-nagar-haveli-&-daman-&-diu,2131607.7226029015,1849.0,2022
Others,2,dadra-&-nagar-haveli-&-daman-&-diu,4415675.718757721,9864.0,2022
Merchant payments,3,dadra-&-nagar-haveli-&-daman-&-diu,1705567002.058646,3777156.0,2022
Peer-to-peer payments,3,dadra-&-nagar-haveli-&-daman-&-diu,5382949597.510585,2086741.0,2022
Recharge & bill payments,3,dadra-&-nagar-haveli-&-daman-&-diu,425206924.52700937,592431.0,2022
Financial Services,3,dadra-&-nagar-haveli-&-daman-&-diu,3194409.939898855,2237.0,2022
Others,3,dadra-&-nagar-haveli-&-daman-&-diu,3729425.46329771,7056.0,2022
Merchant payments,4,dadra-&-nagar-haveli-&-daman-&-diu,1889046056.198835,4415771.0,2022
Peer-to-peer payments,4,dadra-&-nagar-haveli-&-daman-&-diu,5737539058.403507,2215052.0,2022
Recharge & bill payments,4,dadra-&-nagar-haveli-&-daman-&-diu,426040023.1105018,548795.0,2022
Financial Services,4,dadra-&-nagar-haveli-&-daman-&-diu,3169199.262533775,2495.0,2022
Others,4,dadra-&-nagar-haveli-&-daman-&-diu,3846409.1057498828,7472.0,2022
Recharge & bill payments,1,delhi,1320559612.770412,3947297.0,2018
Peer-to-peer payments,1,delhi,9125685134.894358,2380820.0,2018
Merchant payments,1,delhi,375393115.1913132,339809.0,2018
Financial Services,1,delhi,45588429.271575734,136240.0,2018
Others,1,delhi,344277514.7923026,318588.0,2018
Recharge & bill payments,2,delhi,2078183615.8006341,4511737.0,2018
Peer-to-peer payments,2,delhi,14348179103.10983,3542716.0,2018
Merchant payments,2,delhi,631597790.6002588,837001.0,2018
Financial Services,2,delhi,66584728.19594695,205991.0,2018
Others,2,delhi,321754664.4984691,276278.0,2018
Peer-to-peer payments,3,delhi,22670122888.86821,8557153.0,2018
Recharge & bill payments,3,delhi,3261844270.537241,5305635.0,2018
Merchant payments,3,delhi,1048422633.7093569,3808395.0,2018
Financial Services,3,delhi,45051151.351430364,274526.0,2018
Others,3,delhi,350405916.1523186,601339.0,2018
Peer-to-peer payments,4,delhi,32389252494.75772,9973249.0,2018
Merchant payments,4,delhi,2738429838.9392734,9958967.0,2018
Recharge & bill payments,4,delhi,3961160542.5700665,7483633.0,2018
Financial Services,4,delhi,58162003.43614492,265004.0,2018
Others,4,delhi,575852739.0031942,1506866.0,2018
Peer-to-peer payments,1,delhi,48250023720.99173,20216287.0,2019
Merchant payments,1,delhi,3996618719.7994804,13875931.0,2019
Recharge & bill payments,1,delhi,5521320539.356213,10744978.0,2019
Financial Services,1,delhi,30997039.69755583,223095.0,2019
Others,1,delhi,670171769.6522964,1947036.0,2019
Merchant payments,2,delhi,6816878922.844399,20891431.0,2019
Peer-to-peer payments,2,delhi,65953571241.26435,20570311.0,2019
Recharge & bill payments,2,delhi,8035701902.391765,12869453.0,2019
Financial Services,2,delhi,33985068.68378611,137774.0,2019
Others,2,delhi,866678928.4439986,2702543.0,2019
Merchant payments,3,delhi,9857221391.940361,29453368.0,2019
Peer-to-peer payments,3,delhi,81904443496.29779,25201978.0,2019
Recharge & bill payments,3,delhi,10406524192.884481,11133404.0,2019
Financial Services,3,delhi,27952186.986432,92061.0,2019
Others,3,delhi,1000670778.347806,3657065.0,2019
Peer-to-peer payments,4,delhi,105858524152.3844,33040093.0,2019
Merchant payments,4,delhi,12864577363.07057,32537378.0,2019
Recharge & bill payments,4,delhi,9500486080.988451,11609898.0,2019
Financial Services,4,delhi,21512527.97398922,57063.0,2019
Others,4,delhi,779367300.4732571,3500565.0,2019
Merchant payments,1,delhi,14470782771.05468,33951545.0,2020
Peer-to-peer payments,1,delhi,108987600006.3667,32410795.0,2020
Recharge & bill payments,1,delhi,9498791147.929193,12822919.0,2020
Financial Services,1,delhi,39908838.24852887,46529.0,2020
Others,1,delhi,619460878.9909674,2515816.0,2020
Peer-to-peer payments,2,delhi,86227124454.10175,27155938.0,2020
Merchant payments,2,delhi,12708327043.86833,24963931.0,2020
Recharge & bill payments,2,delhi,8699886044.040596,13568505.0,2020
Financial Services,2,delhi,75405868.16164647,64790.0,2020
Others,2,delhi,162694793.1586959,288854.0,2020
Peer-to-peer payments,3,delhi,140074023548.1563,41498638.0,2020
Merchant payments,3,delhi,21858176583.0589,40973792.0,2020
Recharge & bill payments,3,delhi,12883226305.336542,13448341.0,2020
Financial Services,3,delhi,114341865.26457219,85689.0,2020
Others,3,delhi,234194502.84422824,485401.0,2020
Merchant payments,4,delhi,31106554562.7951,54581166.0,2020
Peer-to-peer payments,4,delhi,171546055992.1488,49631928.0,2020
Recharge & bill payments,4,delhi,12921793576.576849,14862946.0,2020
Financial Services,4,delhi,160007919.76894262,114862.0,2020
Others,4,delhi,530676173.2537967,1349515.0,2020
Merchant payments,1,delhi,39861532639.01234,72615587.0,2021
Peer-to-peer payments,1,delhi,210823551741.4093,61957428.0,2021
Recharge & bill payments,1,delhi,15447408658.77873,21164274.0,2021
Financial Services,1,delhi,203106852.42387852,153039.0,2021
Others,1,delhi,592745151.8683048,1468676.0,2021
Merchant payments,2,delhi,42933366743.23575,75620295.0,2021
Peer-to-peer payments,2,delhi,223034955527.7531,68497718.0,2021
Recharge & bill payments,2,delhi,15310096462.74644,25026678.0,2021
Financial Services,2,delhi,190019761.4974139,158170.0,2021
Others,2,delhi,472659189.3086124,854403.0,2021
Merchant payments,3,delhi,64006915630.532616,115250887.0,2021
Peer-to-peer payments,3,delhi,298005532606.47,93292876.0,2021
Recharge & bill payments,3,delhi,20934734871.90896,28427032.0,2021
Financial Services,3,delhi,220660990.2206633,144460.0,2021
Others,3,delhi,690472449.1489255,1645353.0,2021
Merchant payments,4,delhi,88990516304.07437,149204611.0,2021
Peer-to-peer payments,4,delhi,376556972334.1598,112380292.0,2021
Recharge & bill payments,4,delhi,22290161823.248642,30127352.0,2021
Financial Services,4,delhi,287950130.2492174,199280.0,2021
Others,4,delhi,569713470.6592032,771824.0,2021
Merchant payments,1,delhi,98212381475.57239,174454937.0,2022
Peer-to-peer payments,1,delhi,415305045689.30945,125111881.0,2022
Recharge & bill payments,1,delhi,22482865572.90493,29435981.0,2022
Financial Services,1,delhi,271039329.10874933,195184.0,2022
Others,1,delhi,693588769.393249,1801878.0,2022
Merchant payments,2,delhi,121657706565.0125,233412802.0,2022
Peer-to-peer payments,2,delhi,480685895058.7076,143447534.0,2022
Recharge & bill payments,2,delhi,26876059610.02211,32971294.0,2022
Financial Services,2,delhi,209425798.8201316,160827.0,2022
Others,2,delhi,426563425.65446466,641727.0,2022
Merchant payments,3,delhi,134292748569.0627,276635347.0,2022
Peer-to-peer payments,3,delhi,509428627035.33856,160580425.0,2022
Recharge & bill payments,3,delhi,33177115465.46472,37572389.0,2022
Financial Services,3,delhi,265479580.4156591,195218.0,2022
Others,3,delhi,448676465.83468235,608782.0,2022
Merchant payments,4,delhi,153114813286.2442,305621913.0,2022
Peer-to-peer payments,4,delhi,559069397370.8649,171970100.0,2022
Recharge & bill payments,4,delhi,31954251758.092308,36775874.0,2022
Financial Services,4,delhi,299454652.7780056,228639.0,2022
Others,4,delhi,477098950.5964618,606931.0,2022
Recharge & bill payments,1,goa,18273814.16270872,85991.0,2018
Peer-to-peer payments,1,goa,268175048.0699297,59651.0,2018
Merchant payments,1,goa,11036031.73565796,7880.0,2018
Financial Services,1,goa,520105.642400422,1191.0,2018
Others,1,goa,5851742.732386975,6184.0,2018
Recharge & bill payments,2,goa,30994284.170441043,120943.0,2018
Peer-to-peer payments,2,goa,419492232.5241037,87878.0,2018
Merchant payments,2,goa,20162855.70611957,12456.0,2018
Financial Services,2,goa,733429.427283199,1903.0,2018
Others,2,goa,7221023.530667527,6395.0,2018
Recharge & bill payments,3,goa,40314972.942088366,158797.0,2018
Peer-to-peer payments,3,goa,639468418.1317002,150297.0,2018
Merchant payments,3,goa,26634198.178851012,21587.0,2018
Financial Services,3,goa,468171.36483984883,1867.0,2018
Others,3,goa,6281208.620754639,6963.0,2018
Peer-to-peer payments,4,goa,1021902315.442675,246426.0,2018
Recharge & bill payments,4,goa,54832855.89468471,212122.0,2018
Merchant payments,4,goa,66666113.92145965,45586.0,2018
Financial Services,4,goa,723599.2328183289,2523.0,2018
Others,4,goa,8880194.430766659,8098.0,2018
Peer-to-peer payments,1,goa,1310759847.8146641,378848.0,2019
Recharge & bill payments,1,goa,78212835.0406034,275277.0,2019
Merchant payments,1,goa,75946974.41483101,74527.0,2019
Financial Services,1,goa,499592.0966860995,2013.0,2019
Others,1,goa,9904147.90979165,8147.0,2019
Peer-to-peer payments,2,goa,1391933790.754776,373759.0,2019
Recharge & bill payments,2,goa,93218689.41694948,278060.0,2019
Merchant payments,2,goa,92873008.6474504,104592.0,2019
Financial Services,2,goa,515859.8076807977,1211.0,2019
Others,2,goa,13325754.760758922,10819.0,2019
Peer-to-peer payments,3,goa,1704668027.015978,475178.0,2019
Recharge & bill payments,3,goa,157952854.9501171,453806.0,2019
Merchant payments,3,goa,123948570.5685749,150578.0,2019
Financial Services,3,goa,1282344.8444824044,1510.0,2019
Others,3,goa,12515394.11768832,11344.0,2019
Peer-to-peer payments,4,goa,2484453030.3184505,698728.0,2019
Recharge & bill payments,4,goa,205602115.1462514,552421.0,2019
Merchant payments,4,goa,218404664.86385107,250893.0,2019
Financial Services,4,goa,649712.8451498008,1497.0,2019
Others,4,goa,14350825.32576531,11733.0,2019
Peer-to-peer payments,1,goa,2851686768.653684,817198.0,2020
Recharge & bill payments,1,goa,244739382.20701852,678079.0,2020
Merchant payments,1,goa,298421548.1046571,373110.0,2020
Financial Services,1,goa,1816477.5692472362,1762.0,2020
Others,1,goa,13707055.38915557,11088.0,2020
Recharge & bill payments,2,goa,241196540.93798912,758617.0,2020
Peer-to-peer payments,2,goa,1766723888.202512,493326.0,2020
Merchant payments,2,goa,168591711.9469356,221358.0,2020
Financial Services,2,goa,3328361.317987765,3081.0,2020
Others,2,goa,3775927.611346662,5710.0,2020
Peer-to-peer payments,3,goa,2723430713.344406,759351.0,2020
Recharge & bill payments,3,goa,280187505.0339355,696770.0,2020
Merchant payments,3,goa,353193881.4783259,446880.0,2020
Financial Services,3,goa,6418950.466847964,4985.0,2020
Others,3,goa,5112530.621144422,7545.0,2020
Peer-to-peer payments,4,goa,5407626413.043345,1550251.0,2020
Merchant payments,4,goa,1123844212.517181,1389834.0,2020
Recharge & bill payments,4,goa,345088772.3784919,839199.0,2020
Financial Services,4,goa,10386560.38667797,7287.0,2020
Others,4,goa,12846789.254236259,14810.0,2020
Peer-to-peer payments,1,goa,7553384653.1682,2235456.0,2021
Merchant payments,1,goa,1768358976.7158573,2195509.0,2021
Recharge & bill payments,1,goa,410604192.7268899,880682.0,2021
Financial Services,1,goa,12207778.14863873,8138.0,2021
Others,1,goa,12687278.26183929,11764.0,2021
Merchant payments,2,goa,1411529033.665019,1869384.0,2021
Peer-to-peer payments,2,goa,6195032351.177256,1866837.0,2021
Recharge & bill payments,2,goa,383804809.3560881,953219.0,2021
Financial Services,2,goa,12371843.844825162,8303.0,2021
Others,2,goa,10115549.032816991,12392.0,2021
Merchant payments,3,goa,2143135314.8979309,2865625.0,2021
Peer-to-peer payments,3,goa,7871092673.137299,2560305.0,2021
Recharge & bill payments,3,goa,438838003.2298236,1017351.0,2021
Financial Services,3,goa,12943224.073821459,8337.0,2021
Others,3,goa,12416377.59749352,16145.0,2021
Merchant payments,4,goa,4384250602.937037,5474662.0,2021
Peer-to-peer payments,4,goa,13618351952.66609,4408822.0,2021
Recharge & bill payments,4,goa,585734312.4063727,1170180.0,2021
Financial Services,4,goa,17101084.66037453,11320.0,2021
Others,4,goa,21819163.1997744,23775.0,2021
Merchant payments,1,goa,4682000388.389215,6364271.0,2022
Peer-to-peer payments,1,goa,14449830641.55571,4640380.0,2022
Recharge & bill payments,1,goa,646403472.1135541,1177071.0,2022
Financial Services,1,goa,17490493.19245399,11677.0,2022
Others,1,goa,20720407.59517404,20699.0,2022
Merchant payments,2,goa,5736211013.6866455,7812998.0,2022
Peer-to-peer payments,2,goa,16372343177.228302,5097942.0,2022
Recharge & bill payments,2,goa,738765635.2807853,1279377.0,2022
Financial Services,2,goa,13192736.02810038,10666.0,2022
Others,2,goa,12525197.296362748,15071.0,2022
Merchant payments,3,goa,5112175255.359402,7595135.0,2022
Peer-to-peer payments,3,goa,13780955270.35272,4449008.0,2022
Recharge & bill payments,3,goa,657115143.5357426,1122869.0,2022
Financial Services,3,goa,12650738.42084387,9992.0,2022
Others,3,goa,11368868.03761505,11683.0,2022
Merchant payments,4,goa,6739205748.43176,10319138.0,2022
Peer-to-peer payments,4,goa,17421974714.96234,5652373.0,2022
Recharge & bill payments,4,goa,734121700.6400626,1195865.0,2022
Financial Services,4,goa,15705663.12696776,12147.0,2022
Others,4,goa,13978544.17801686,13151.0,2022
Recharge & bill payments,1,gujarat,878929080.9916563,3691952.0,2018
Peer-to-peer payments,1,gujarat,6318864759.888066,1738974.0,2018
Merchant payments,1,gujarat,166036667.5708913,145436.0,2018
Financial Services,1,gujarat,27986679.00971316,122117.0,2018
Others,1,gujarat,186165067.57372183,250296.0,2018
Recharge & bill payments,2,gujarat,1571880396.377953,4643367.0,2018
Peer-to-peer payments,2,gujarat,10009680530.386879,2483231.0,2018
Merchant payments,2,gujarat,356984574.1205573,275503.0,2018
Financial Services,2,gujarat,38598263.22838031,140704.0,2018
Others,2,gujarat,185541007.527258,202928.0,2018
Peer-to-peer payments,3,gujarat,15272745137.7593,5287200.0,2018
Recharge & bill payments,3,gujarat,1938041688.967853,5117168.0,2018
Merchant payments,3,gujarat,466209496.8015111,573440.0,2018
Financial Services,3,gujarat,24930605.60733972,136468.0,2018
Others,3,gujarat,164477497.1394802,219873.0,2018
Peer-to-peer payments,4,gujarat,21207285184.78019,6488202.0,2018
Recharge & bill payments,4,gujarat,2297332323.0815268,6138404.0,2018
Merchant payments,4,gujarat,1088373316.058025,1656377.0,2018
Financial Services,4,gujarat,30699273.16507,133915.0,2018
Others,4,gujarat,207297005.697784,316405.0,2018
Peer-to-peer payments,1,gujarat,31231285551.30865,13465044.0,2019
Recharge & bill payments,1,gujarat,3104251732.6516943,8595256.0,2019
Merchant payments,1,gujarat,1296376125.1752782,2493340.0,2019
Financial Services,1,gujarat,19581520.56940021,114539.0,2019
Others,1,gujarat,204585378.77191532,323272.0,2019
Peer-to-peer payments,2,gujarat,41853661230.46584,12547493.0,2019
Recharge & bill payments,2,gujarat,4651874823.428602,10434449.0,2019
Merchant payments,2,gujarat,2526448415.35857,5486791.0,2019
Financial Services,2,gujarat,17349813.389733132,70502.0,2019
Others,2,gujarat,271280936.6247084,442607.0,2019
Peer-to-peer payments,3,gujarat,49206585462.018684,14529353.0,2019
Merchant payments,3,gujarat,4211116461.291188,11788077.0,2019
Recharge & bill payments,3,gujarat,5768100024.478059,11349625.0,2019
Financial Services,3,gujarat,20507001.233050566,78609.0,2019
Others,3,gujarat,256386015.2468171,482985.0,2019
Peer-to-peer payments,4,gujarat,64477452638.7778,19107911.0,2019
Recharge & bill payments,4,gujarat,6517891166.722656,12967713.0,2019
Merchant payments,4,gujarat,5480269119.720947,9964076.0,2019
Financial Services,4,gujarat,20202767.264147878,63498.0,2019
Others,4,gujarat,194846362.42851493,444434.0,2019
Peer-to-peer payments,1,gujarat,72393727235.07784,19068093.0,2020
Recharge & bill payments,1,gujarat,7197595156.690899,15648472.0,2020
Merchant payments,1,gujarat,7210758662.281933,12191478.0,2020
Financial Services,1,gujarat,27460255.45966168,50753.0,2020
Others,1,gujarat,165535312.3927878,367621.0,2020
Recharge & bill payments,2,gujarat,8322688556.9900055,19971660.0,2020
Peer-to-peer payments,2,gujarat,64723140394.229126,17569398.0,2020
Merchant payments,2,gujarat,7196610931.561442,9645967.0,2020
Financial Services,2,gujarat,53132341.30500819,59617.0,2020
Others,2,gujarat,92274135.40504411,173543.0,2020
Peer-to-peer payments,3,gujarat,89142122337.25531,23130724.0,2020
Merchant payments,3,gujarat,12749796641.7854,18338969.0,2020
Recharge & bill payments,3,gujarat,9820654243.808819,17481357.0,2020
Financial Services,3,gujarat,84723188.62104334,92278.0,2020
Others,3,gujarat,124456073.2416335,246851.0,2020
Peer-to-peer payments,4,gujarat,116743230330.362,29967258.0,2020
Merchant payments,4,gujarat,20844321156.65293,28430460.0,2020
Recharge & bill payments,4,gujarat,10441981826.08086,18943669.0,2020
Financial Services,4,gujarat,120056733.88652492,113371.0,2020
Others,4,gujarat,243470065.4568177,373789.0,2020
Peer-to-peer payments,1,gujarat,144818968373.0293,36427493.0,2021
Merchant payments,1,gujarat,26512643894.00317,35815382.0,2021
Recharge & bill payments,1,gujarat,11996115292.37784,22088838.0,2021
Financial Services,1,gujarat,137612317.73580322,126380.0,2021
Others,1,gujarat,235440836.3042438,316472.0,2021
Merchant payments,2,gujarat,33542305033.8295,42593432.0,2021
Peer-to-peer payments,2,gujarat,162483567902.3019,41642387.0,2021
Recharge & bill payments,2,gujarat,13750783181.944221,27127405.0,2021
Financial Services,2,gujarat,136119996.7022825,128647.0,2021
Others,2,gujarat,249278437.3391409,349525.0,2021
Merchant payments,3,gujarat,48197579736.51646,62934471.0,2021
Peer-to-peer payments,3,gujarat,208013326600.62402,56134212.0,2021
Recharge & bill payments,3,gujarat,15945997372.05868,29580901.0,2021
Financial Services,3,gujarat,163304131.14365232,125167.0,2021
Others,3,gujarat,304418273.2454592,473656.0,2021
Merchant payments,4,gujarat,68717933161.8696,84846502.0,2021
Peer-to-peer payments,4,gujarat,254338740726.63602,67301686.0,2021
Recharge & bill payments,4,gujarat,18739034341.66239,30072479.0,2021
Financial Services,4,gujarat,209214620.7057898,175393.0,2021
Others,4,gujarat,377657202.7539646,591265.0,2021
Merchant payments,1,gujarat,79563412221.78397,101648378.0,2022
Peer-to-peer payments,1,gujarat,292439274688.3083,77768758.0,2022
Recharge & bill payments,1,gujarat,20042066374.66357,30473298.0,2022
Financial Services,1,gujarat,187077879.3846649,160423.0,2022
Others,1,gujarat,316261089.40738213,496289.0,2022
Merchant payments,2,gujarat,95585623258.23605,131610193.0,2022
Peer-to-peer payments,2,gujarat,326945780476.5976,86423696.0,2022
Recharge & bill payments,2,gujarat,23844933238.40894,33424931.0,2022
Financial Services,2,gujarat,142685436.4192669,125180.0,2022
Others,2,gujarat,278978567.18363523,468796.0,2022
Merchant payments,3,gujarat,109018764232.9939,161264265.0,2022
Peer-to-peer payments,3,gujarat,359338045092.0105,103034790.0,2022
