Payment Mode,Quarter,State,Total Amount,Total Transactions count,Year
Peer-to-peer payments,3,andaman-&-nicobar-islands,1077787837.156299,192321.0,2021
Recharge & bill payments,3,andaman-&-nicobar-islands,51243450.85925055,136010.0,2021
Merchant payments,3,andaman-&-nicobar-islands,176991328.21761322,118340.0,2021
Financial Services,3,andaman-&-nicobar-islands,2351013.441729573,990.0,2021
Others,3,andaman-&-nicobar-islands,1650766.1267105162,2103.0,2021
Peer-to-peer payments,4,andaman-&-nicobar-islands,1544932663.274458,285778.0,2021
Merchant payments,4,andaman-&-nicobar-islands,322842314.6243375,210164.0,2021
Recharge & bill payments,4,andaman-&-nicobar-islands,59243518.11464359,135608.0,2021
Financial Services,4,andaman-&-nicobar-islands,3137965.167474068,1718.0,2021
Others,4,andaman-&-nicobar-islands,2453640.142743944,2855.0,2021
Peer-to-peer payments,1,andaman-&-nicobar-islands,1682328505.725447,342649.0,2022
Merchant payments,1,andaman-&-nicobar-islands,370091558.683733,284298.0,2022
Recharge & bill payments,1,andaman-&-nicobar-islands,71300133.66101265,163401.0,2022
Financial Services,1,andaman-&-nicobar-islands,2869682.0229511866,1757.0,2022
Others,1,andaman-&-nicobar-islands,2440321.9820225406,2643.0,2022
Merchant payments,2,andaman-&-nicobar-islands,510838980.9061847,449540.0,2022
Peer-to-peer payments,2,andaman-&-nicobar-islands,2088309073.4552839,437606.0,2022
Recharge & bill payments,2,andaman-&-nicobar-islands,82232936.61795367,179515.0,2022
Financial Services,2,andaman-&-nicobar-islands,2089862.3927160464,1448.0,2022
Others,2,andaman-&-nicobar-islands,2449496.7081265687,3108.0,2022
Merchant payments,3,andaman-&-nicobar-islands,693438186.2965411,716105.0,2022
Peer-to-peer payments,3,andaman-&-nicobar-islands,2514535154.56483,622217.0,2022
Recharge & bill payments,3,andaman-&-nicobar-islands,97748065.62714244,240766.0,2022
Financial Services,3,andaman-&-nicobar-islands,2166304.9779766416,1814.0,2022
Others,3,andaman-&-nicobar-islands,2744060.670897343,3477.0,2022
Merchant payments,4,andaman-&-nicobar-islands,906365300.658504,956536.0,2022
Peer-to-peer payments,4,andaman-&-nicobar-islands,2961630584.8271313,768758.0,2022
Recharge & bill payments,4,andaman-&-nicobar-islands,110037119.6694117,256050.0,2022
Financial Services,4,andaman-&-nicobar-islands,3533987.2301130476,2499.0,2022
Others,4,andaman-&-nicobar-islands,3107412.043626394,3692.0,2022
Recharge & bill payments,1,andhra-pradesh,892293975.6698563,5027448.0,2018
Peer-to-peer payments,1,andhra-pradesh,10524250283.17878,3049646.0,2018
Merchant payments,1,andhra-pradesh,247297640.2400068,362672.0,2018
Financial Services,1,andhra-pradesh,44808449.7639544,204305.0,2018
Others,1,andhra-pradesh,287626042.970705,395514.0,2018
Recharge & bill payments,2,andhra-pradesh,1598591488.488035,6456387.0,2018
Peer-to-peer payments,2,andhra-pradesh,20451493098.895298,4745000.0,2018
Merchant payments,2,andhra-pradesh,436785223.86032957,604847.0,2018
