Data From,Data To,Quarter,State,Year
1633026600000.0,1640629800000.0,4,bihar,2021
1640975400000.0,1648405800000.0,1,bihar,2022
1648751400000.0,1656354600000.0,2,bihar,2022
1656613800000.0,1664303400000.0,3,bihar,2022
1664562600000.0,1672165800000.0,4,bihar,2022
1514745000000.0,1522175400000.0,1,chandigarh,2018
1522521000000.0,1530124200000.0,2,chandigarh,2018
1530383400000.0,1538073000000.0,3,chandigarh,2018
1538332200000.0,1545935400000.0,4,chandigarh,2018
1546281000000.0,1553711400000.0,1,chandigarh,2019
1554057000000.0,1561660200000.0,2,chandigarh,2019
1561919400000.0,1569609000000.0,3,chandigarh,2019
1569868200000.0,1577471400000.0,4,chandigarh,2019
1577817000000.0,1585333800000.0,1,chandigarh,2020
1585679400000.0,1593282600000.0,2,chandigarh,2020
1593541800000.0,1601231400000.0,3,chandigarh,2020
1601490600000.0,1609093800000.0,4,chandigarh,2020
1609439400000.0,1616869800000.0,1,chandigarh,2021
1617215400000.0,1624818600000.0,2,chandigarh,2021
1625077800000.0,1632767400000.0,3,chandigarh,2021
1633026600000.0,1640629800000.0,4,chandigarh,2021
1640975400000.0,1648405800000.0,1,chandigarh,2022
1648751400000.0,1656354600000.0,2,chandigarh,2022
1656613800000.0,1664303400000.0,3,chandigarh,2022
1664562600000.0,1672165800000.0,4,chandigarh,2022
1514745000000.0,1522175400000.0,1,chhattisgarh,2018
1522521000000.0,1530124200000.0,2,chhattisgarh,2018
1530383400000.0,1538073000000.0,3,chhattisgarh,2018
1538332200000.0,1545935400000.0,4,chhattisgarh,2018
1546281000000.0,1553711400000.0,1,chhattisgarh,2019
1554057000000.0,1561660200000.0,2,chhattisgarh,2019
1561919400000.0,1569609000000.0,3,chhattisgarh,2019
1569868200000.0,1577471400000.0,4,chhattisgarh,2019
1577817000000.0,1585333800000.0,1,chhattisgarh,2020
1585679400000.0,1593282600000.0,2,chhattisgarh,2020
1593541800000.0,1601231400000.0,3,chhattisgarh,2020
1601490600000.0,1609093800000.0,4,chhattisgarh,2020
1609439400000.0,1616869800000.0,1,chhattisgarh,2021
1617215400000.0,1624818600000.0,2,chhattisgarh,2021
1625077800000.0,1632767400000.0,3,chhattisgarh,2021
1633026600000.0,1640629800000.0,4,chhattisgarh,2021
1640975400000.0,1648405800000.0,1,chhattisgarh,2022
1648751400000.0,1656354600000.0,2,chhattisgarh,2022
1656613800000.0,1664303400000.0,3,chhattisgarh,2022
1664562600000.0,1672165800000.0,4,chhattisgarh,2022
1514745000000.0,1522175400000.0,1,dadra-&-nagar-haveli-&-daman-&-diu,2018
1522521000000.0,1530124200000.0,2,dadra-&-nagar-haveli-&-daman-&-diu,2018
1530383400000.0,1538073000000.0,3,dadra-&-nagar-haveli-&-daman-&-diu,2018
1538332200000.0,1545935400000.0,4,dadra-&-nagar-haveli-&-daman-&-diu,2018
1546281000000.0,1553711400000.0,1,dadra-&-nagar-haveli-&-daman-&-diu,2019
1554057000000.0,1561660200000.0,2,dadra-&-nagar-haveli-&-daman-&-diu,2019
1561919400000.0,1569609000000.0,3,dadra-&-nagar-haveli-&-daman-&-diu,2019
1569868200000.0,1577471400000.0,4,dadra-&-nagar-haveli-&-daman-&-diu,2019
1577817000000.0,1585333800000.0,1,dadra-&-nagar-haveli-&-daman-&-diu,2020
1585679400000.0,1593282600000.0,2,dadra-&-nagar-haveli-&-daman-&-diu,2020
1593541800000.0,1601231400000.0,3,dadra-&-nagar-haveli-&-daman-&-diu,2020
1601490600000.0,1609093800000.0,4,dadra-&-nagar-haveli-&-daman-&-diu,2020
1609439400000.0,1616869800000.0,1,dadra-&-nagar-haveli-&-daman-&-diu,2021
1617215400000.0,1624818600000.0,2,dadra-&-nagar-haveli-&-daman-&-diu,2021
1625077800000.0,1632767400000.0,3,dadra-&-nagar-haveli-&-daman-&-diu,2021
