App Openings,Place Name,Quarter,Registered Users Count,State,Year
0.0,spsr nellore district,2,261049.0,andhra-pradesh,2018
0.0,vizianagaram district,2,167327.0,andhra-pradesh,2018
0.0,ysr district,2,248657.0,andhra-pradesh,2018
0.0,west godavari district,2,282393.0,andhra-pradesh,2018
0.0,chittoor district,2,414306.0,andhra-pradesh,2018
0.0,east godavari district,3,558982.0,andhra-pradesh,2018
0.0,srikakulam district,3,228456.0,andhra-pradesh,2018
0.0,visakhapatnam district,3,769096.0,andhra-pradesh,2018
0.0,prakasam district,3,314899.0,andhra-pradesh,2018
0.0,anantapur district,3,405855.0,andhra-pradesh,2018
0.0,kurnool district,3,394311.0,andhra-pradesh,2018
0.0,guntur district,3,518931.0,andhra-pradesh,2018
0.0,krishna district,3,537086.0,andhra-pradesh,2018
0.0,spsr nellore district,3,322446.0,andhra-pradesh,2018
0.0,vizianagaram district,3,203655.0,andhra-pradesh,2018
0.0,ysr district,3,308391.0,andhra-pradesh,2018
0.0,west godavari district,3,349782.0,andhra-pradesh,2018
0.0,chittoor district,3,515727.0,andhra-pradesh,2018
0.0,east godavari district,4,694455.0,andhra-pradesh,2018
0.0,srikakulam district,4,284874.0,andhra-pradesh,2018
0.0,visakhapatnam district,4,978288.0,andhra-pradesh,2018
0.0,prakasam district,4,394962.0,andhra-pradesh,2018
0.0,anantapur district,4,510892.0,andhra-pradesh,2018
0.0,kurnool district,4,498582.0,andhra-pradesh,2018
0.0,guntur district,4,659552.0,andhra-pradesh,2018
0.0,krishna district,4,682479.0,andhra-pradesh,2018
0.0,spsr nellore district,4,407495.0,andhra-pradesh,2018
0.0,vizianagaram district,4,257824.0,andhra-pradesh,2018
0.0,ysr district,4,387058.0,andhra-pradesh,2018
0.0,west godavari district,4,435668.0,andhra-pradesh,2018
0.0,chittoor district,4,665280.0,andhra-pradesh,2018
0.0,east godavari district,1,839277.0,andhra-pradesh,2019
0.0,srikakulam district,1,345775.0,andhra-pradesh,2019
0.0,visakhapatnam district,1,1174517.0,andhra-pradesh,2019
0.0,prakasam district,1,474260.0,andhra-pradesh,2019
0.0,anantapur district,1,612162.0,andhra-pradesh,2019
0.0,kurnool district,1,599422.0,andhra-pradesh,2019
0.0,guntur district,1,802394.0,andhra-pradesh,2019
0.0,krishna district,1,833694.0,andhra-pradesh,2019
0.0,spsr nellore district,1,491908.0,andhra-pradesh,2019
0.0,vizianagaram district,1,313334.0,andhra-pradesh,2019
0.0,ysr district,1,460590.0,andhra-pradesh,2019
0.0,west godavari district,1,523372.0,andhra-pradesh,2019
0.0,chittoor district,1,812314.0,andhra-pradesh,2019
7156762.0,east godavari district,2,945181.0,andhra-pradesh,2019
3230330.0,srikakulam district,2,392764.0,andhra-pradesh,2019
